timestamp,accel_x,accel_y,accel_z
1637208258268,102.7908,-1.2764,-0.6
1637208258284,103.7525,-2.2869,-0.9455
1637208258300,104.1086,-2.0387,-1.0364
1637208258314,103.3785,-1.8969,-0.8182
1637208258330,102.4703,-2.0742,0.4364
1637208258346,101.8291,-2.5174,-0.6546
1637208258360,102.3456,-1.6842,1.4001
1637208258376,102.9511,-1.6664,-0.3637
1637208258392,103.0045,-0.9928,0.4909
1637208258406,102.0428,-1.241,0.6728
1637208258422,102.4524,-0.8332,0.6364
1637208258438,102.9867,-1.2941,0.2
1637208258452,102.684,-1.8792,0.4546
1637208258468,100.4935,-3.0315,0.4182
1637208258484,101.2771,-1.4714,0.4364
1637208258498,101.6511,-1.2587,-0.5455
1637208258514,102.1141,-1.7019,-0.2727
1637208258530,102.0607,-1.9324,-1.1637
1637208258544,102.4703,-1.2941,-0.3273
1637208258560,102.1497,-1.2764,0.4364
1637208258576,102.8798,-1.4714,-0.5273
1637208258590,102.8264,-0.195,-1.0728
1637208258606,101.9894,-0.5141,-0.3637
1637208258622,101.099,-0.7978,-1.1273
1637208258638,102.3278,-1.0282,-0.9819
1637208258652,101.847,-0.7091,-0.1091
1637208258668,101.4374,-0.4255,0.9637
1637208258684,101.4908,0.4255,1.1455
1637208258698,101.8648,0.5496,0.8364
1637208258714,102.1675,-0.0886,-0.3091
1637208258730,102.1497,-1.6664,-1.0364
1637208258744,102.3812,-1.826,-1.6728
1637208258760,101.5976,-1.4892,0.1091
1637208258776,102.4703,-0.9041,-0.5273
1637208258790,103.7525,-1.2764,-0.2
1637208258806,102.6127,-1.1346,-0.2909
1637208258822,100.9565,-1.0282,-0.6364
1637208258836,101.3661,-1.5955,-0.4182
1637208258852,101.6867,-1.6133,-1.4546
1637208258868,101.4374,-1.4005,-0.5273
1637208258882,101.3127,-1.1169,0.5819
1637208258898,101.2415,-1.3119,0.8
1637208258914,99.888,-1.3296,1.1092
1637208258928,100.8675,-1.046,-1.5455
1637208258944,101.9538,-0.1241,-2.4001
1637208258960,103.1114,0.4787,-1.4183
1637208258974,103.1648,0,-0.8364
1637208258990,102.7374,-1.6842,0.6182
1637208259006,102.4703,-3.0847,1.3273
1637208259022,103.0757,-2.411,1.3819
1637208259036,102.0428,-2.1983,-0.2727
1637208259052,102.2031,-2.3046,-0.2909
1637208259068,102.5949,-0.8509,0.5273
1637208259082,101.8826,-1.0991,-0.0364
1637208259098,101.9716,-2.0742,0.2546
1637208259114,102.31,-1.7551,0.0909
1637208259128,102.3456,-1.8792,-0.8546
1637208259144,103.3429,-2.1628,-0.9273
1637208259160,102.2922,-3.5988,0.1273
1637208259174,102.2565,-1.9501,-0.0909
1637208259190,102.2744,-1.7196,0.2909
1637208259206,101.6511,-1.7728,0.0545
1637208259220,101.2593,-0.2127,-0.8728
1637208259236,101.4017,-1.5069,-1.2728
1637208259252,102.6661,-1.9501,-1.0001
1637208259266,101.9894,-2.4465,-0.8182
1637208259282,102.7552,-2.021,0
1637208259298,103.2538,-2.3224,-0.1636
1637208259312,102.9689,-2.4465,1.3092
1637208259328,102.8264,-2.0565,1.5819
1637208259344,103.2004,-1.7373,2.5092
1637208259358,102.2209,-3.5279,1.9274
1637208259374,100.4045,-3.191,2.4547
1637208259390,100.2798,-4.1129,0.6728
1637208259406,100.351,-2.9606,0.0364
1637208259420,101.6867,-2.1451,-0.9273
1637208259436,102.7196,-4.0775,-0.3091
1637208259452,102.7018,-2.801,2.382
1637208259466,103.0757,-2.8365,3.0911
1637208259482,102.399,-4.2547,2.7456
1637208259498,101.9894,-2.606,2.291
1637208259512,102.773,-2.411,3.3638
1637208259528,102.5593,-3.7052,3.1456
1637208259544,102.31,-3.6874,2.2547
1637208259558,102.6305,-3.7052,3.4729
1637208259574,102.7196,-3.2265,2.6911
1637208259590,101.3661,-3.8647,2.6911
1637208259604,100.8319,-3.2974,3.1275
1637208259620,101.7223,-2.7833,1.5092
1637208259636,102.0428,-3.6165,1.1273
1637208259650,102.9333,-2.4287,2.9093
1637208259666,102.1497,-4.432,3.5638
1637208259682,100.3154,-5.7793,3.6729
1637208259696,100.9387,-4.4497,4.0911
1637208259712,102.2387,-4.9993,4.5821
1637208259728,102.773,-5.3184,4.9094
1637208259742,102.5949,-5.9389,4.3821
1637208259758,102.1497,-5.3716,4.6548
1637208259774,101.4552,-4.2015,4.5457
1637208259790,101.936,-3.9002,4.2912
1637208259804,102.9333,-3.9711,3.8002
1637208259820,102.7196,-3.8293,2.5638
1637208259836,103.0045,-4.627,2.782
1637208259850,102.8798,-4.6447,6.2913
1637208259866,102.5415,-6.7721,5.3821
1637208259882,102.684,-5.5489,3.2729
1637208259896,101.5442,-5.3539,3.6002
1637208259912,100.4579,-5.4425,4.0184
1637208259928,101.5264,-5.7616,3.8002
1637208259942,102.4346,-5.3716,3.382
1637208259958,102.9333,-4.6979,3.5093
1637208259974,102.6305,-4.9639,5.0003
1637208259988,102.4703,-5.8857,5.1094
1637208260004,102.7374,-4.822,4.2002
1637208260020,102.5415,-5.673,3.2729
1637208260034,103.7881,-4.6093,2.8729
1637208260050,103.4675,-5.1589,3.182
1637208260066,103.2004,-6.5239,5.0912
